Time step	Uncertainty	Uncertainty	Uncertainty	Uncertainty
	¦Î=0.5	¦Î=1	¦Î=1.5	¦Î=2
547	0.010218	0.010208	0.010252	0.010297
548	0.010218	0.010208	0.010253	0.010295
549	0.010215	0.010209	0.010253	0.010297
550	0.010216	0.010209	0.010254	0.010296
551	0.010215	0.010208	0.010252	0.010295
552	0.010215	0.010207	0.010253	0.010294
553	0.010215	0.010205	0.010253	0.010295
554	0.010213	0.010206	0.010252	0.010294
555	0.010213	0.010205	0.010252	0.010295
556	0.010212	0.010205	0.01025	0.010295
557	0.010212	0.010206	0.01025	0.010295
558	0.010212	0.010207	0.010249	0.010295
559	0.01021	0.010205	0.010249	0.010296
560	0.01021	0.010207	0.010249	0.010296
561	0.01021	0.010207	0.010251	0.010297
562	0.010209	0.010205	0.010252	0.010297
563	0.010209	0.010206	0.010251	0.010296
564	0.01021	0.010205	0.010251	0.010295
565	0.010207	0.010204	0.010253	0.010295
566	0.010207	0.010205	0.010253	0.010294
567	0.010207	0.010204	0.010256	0.010295
568	0.010208	0.010204	0.010255	0.010294
569	0.010209	0.010204	0.010254	0.010293
570	0.010209	0.010204	0.010255	0.010292
571	0.010211	0.010205	0.010254	0.010294
572	0.010212	0.010209	0.010254	0.010295
573	0.010212	0.010208	0.010256	0.010294
574	0.010212	0.010207	0.010254	0.010293
575	0.01021	0.010208	0.010254	0.010294
576	0.010211	0.010205	0.010253	0.010293
577	0.010212	0.010207	0.010253	0.010291
578	0.010213	0.010206	0.010252	0.010291
579	0.010214	0.010209	0.010252	0.01029
580	0.010212	0.010208	0.010252	0.01029
581	0.010213	0.010208	0.010252	0.010291
582	0.010213	0.010208	0.010252	0.01029
583	0.010215	0.01021	0.010253	0.01029
584	0.010214	0.010209	0.010254	0.01029
585	0.010214	0.010211	0.010254	0.010291
586	0.010214	0.01021	0.010253	0.010289
587	0.010213	0.010209	0.010253	0.01029
588	0.010213	0.010209	0.010252	0.010289
589	0.01021	0.010209	0.01025	0.010288
590	0.010209	0.010208	0.010251	0.010288
591	0.010208	0.010208	0.01025	0.01029
592	0.010207	0.010209	0.01025	0.01029
593	0.010208	0.010208	0.010249	0.01029
594	0.010208	0.010209	0.01025	0.010291
595	0.010206	0.01021	0.01025	0.010289
596	0.010207	0.010211	0.01025	0.01029
597	0.010206	0.010212	0.01025	0.01029
598	0.010207	0.010213	0.010251	0.010289
599	0.010208	0.010212	0.01025	0.010291
600	0.010207	0.010211	0.010249	0.010289
